foodId,userId,rating
1,1,3
2,1,1
3,1,4
4,1,5
5,1,4
6,1,1
7,1,2
8,1,1
9,1,4
10,1,3
11,1,1
12,1,5
13,1,2
14,1,2
15,1,2
16,1,1
17,1,4
18,1,4
19,1,5
20,1,4
21,1,5
22,1,3
23,1,5
24,1,2
25,1,3
26,1,5
27,1,3
28,1,2
29,1,1
30,1,5
31,1,2
32,1,5
33,1,5
34,1,4
35,1,4
36,1,3
37,1,1
38,1,3
39,1,2
40,1,1
41,1,4
42,1,5
43,1,4
44,1,2
45,1,3
46,1,5
47,1,1
48,1,2
49,1,1
50,1,3
51,1,5
52,1,4
53,1,1
54,1,4
55,1,2
56,1,3
57,1,2
58,1,1
59,1,5
60,1,3
1,2,1
2,2,3
3,2,2
4,2,2
5,2,1
6,2,5
7,2,3
8,2,5
9,2,4
10,2,1
11,2,4
12,2,2
13,2,1
14,2,3
15,2,3
16,2,2
17,2,1
18,2,4
19,2,5
20,2,3
21,2,4
22,2,5
23,2,2
24,2,1
25,2,2
26,2,4
27,2,5
28,2,4
29,2,5
30,2,3
31,2,1
32,2,4
33,2,3
34,2,3
35,2,5
36,2,5
37,2,4
38,2,2
39,2,2
40,2,1
41,2,3
42,2,5
43,2,4
44,2,3
45,2,4
46,2,5
47,2,2
48,2,1
49,2,2
50,2,1
51,2,4
52,2,4
53,2,5
54,2,1
55,2,5
56,2,3
57,2,3
58,2,2
59,2,2
60,2,1
1,3,2
2,3,4
3,3,4
4,3,2
5,3,3
6,3,3
7,3,5
8,3,3
9,3,4
10,3,4
11,3,4
12,3,2
13,3,4
14,3,3
15,3,4
16,3,4
17,3,3
18,3,3
19,3,4
20,3,3
21,3,1
22,3,3
23,3,2
24,3,3
25,3,3
26,3,3
27,3,2
28,3,3
29,3,5
30,3,3
31,3,3
32,3,4
33,3,3
34,3,3
35,3,3
36,3,2
37,3,2
38,3,4
39,3,3
40,3,4
41,3,3
42,3,5
43,3,4
44,3,3
45,3,3
46,3,2
47,3,4
48,3,4
49,3,3
50,3,3
51,3,3
52,3,4
53,3,3
54,3,3
55,3,3
56,3,2
57,3,2
58,3,4
59,3,4
60,3,4
1,4,1
2,4,2
3,4,3
4,4,4
5,4,3
6,4,3
7,4,5
8,4,1
9,4,5
10,4,1
11,4,2
12,4,4
13,4,5
14,4,5
15,4,3
16,4,1
17,4,1
18,4,3
19,4,3
20,4,4
21,4,1
22,4,2
23,4,2
24,4,4
25,4,2
26,4,2
27,4,4
28,4,5
29,4,4
30,4,5
31,4,5
32,4,4
33,4,5
34,4,3
35,4,3
36,4,1
37,4,2
38,4,2
39,4,4
40,4,1
41,4,5
42,4,3
43,4,5
44,4,2
45,4,3
46,4,1
47,4,4
48,4,1
49,4,2
50,4,4
51,4,4
52,4,5
53,4,4
54,4,3
55,4,5
56,4,1
57,4,2
58,4,2
59,4,1
60,4,3
1,5,1
2,5,2
3,5,3
4,5,1
5,5,2
6,5,3
7,5,5
8,5,2
9,5,3
10,5,4
11,5,5
12,5,4
13,5,3
14,5,5
15,5,5
16,5,1
17,5,1
18,5,4
19,5,4
20,5,2
21,5,1
22,5,3
23,5,3
24,5,5
25,5,1
26,5,5
27,5,4
28,5,2
29,5,4
30,5,2
31,5,4
32,5,4
33,5,5
34,5,3
35,5,5
36,5,2
37,5,1
38,5,3
39,5,2
40,5,1
41,5,3
42,5,5
43,5,4
44,5,4
45,5,5
46,5,2
47,5,1
48,5,3
49,5,1
50,5,2
51,5,5
52,5,4
53,5,4
54,5,3
55,5,5
56,5,3
57,5,2
58,5,1
59,5,1
60,5,2
1,6,2
2,6,3
3,6,4
4,6,4
5,6,4
6,6,5
7,6,5
8,6,3
9,6,5
10,6,4
11,6,4
12,6,5
13,6,3
14,6,4
15,6,4
16,6,4
17,6,3
18,6,4
19,6,4
20,6,5
21,6,2
22,6,5
23,6,3
24,6,4
25,6,4
26,6,4
27,6,5
28,6,5
29,6,2
30,6,5
31,6,3
32,6,4
33,6,2
34,6,2
35,6,3
36,6,1
37,6,1
38,6,1
39,6,3
40,6,1
41,6,3
42,6,4
43,6,3
44,6,3
45,6,2
46,6,4
47,6,1
48,6,1
49,6,4
50,6,3
51,6,3
52,6,3
53,6,3
54,6,3
55,6,4
56,6,1
57,6,1
58,6,2
59,6,2
60,6,2
2,7,1
3,7,5
4,7,4
6,7,5
7,7,4
8,7,3
9,7,5
11,7,4
13,7,1
14,7,2
16,7,5
17,7,2
18,7,4
19,7,3
21,7,2
22,7,1
23,7,1
26,7,3
28,7,3
29,7,5
30,7,2
33,7,4
36,7,1
37,7,3
40,7,2
41,7,3
42,7,5
44,7,2
45,7,4
47,7,2
48,7,3
50,7,1
52,7,3
54,7,5
55,7,4
58,7,1
59,7,2
1,8,4
2,8,3
3,8,3
4,8,4
5,8,4
6,8,4
7,8,4
8,8,1
9,8,5
10,8,3
11,8,3
12,8,4
13,8,5
14,8,3
15,8,3
16,8,2
17,8,3
18,8,4
19,8,4
20,8,3
21,8,1
22,8,3
23,8,3
24,8,3
25,8,4
26,8,2
27,8,2
28,8,4
29,8,2
30,8,4
31,8,4
32,8,3
33,8,5
34,8,4
35,8,5
36,8,5
37,8,2
38,8,3
39,8,5
40,8,2
41,8,3
42,8,1
43,8,2
44,8,2
45,8,2
46,8,2
47,8,2
48,8,3
49,8,1
50,8,3
51,8,4
52,8,3
53,8,5
54,8,5
55,8,5
56,8,4
57,8,5
58,8,3
59,8,5
60,8,5
1,9,3
2,9,3
3,9,2
4,9,2
5,9,2
6,9,2
7,9,1
8,9,4
9,9,2
10,9,1
11,9,1
12,9,3
13,9,1
14,9,3
15,9,2
16,9,5
17,9,2
18,9,2
19,9,1
20,9,1
21,9,3
22,9,2
23,9,1
24,9,1
25,9,3
26,9,3
27,9,3
28,9,1
29,9,1
30,9,1
31,9,1
32,9,1
33,9,1
34,9,1
35,9,2
36,9,3
37,9,3
38,9,3
39,9,2
40,9,3
41,9,1
42,9,2
43,9,1
44,9,3
45,9,3
46,9,2
47,9,2
48,9,3
49,9,3
50,9,3
51,9,1
52,9,3
53,9,3
54,9,4
55,9,2
56,9,4
57,9,4
58,9,3
59,9,1
60,9,2
31,10,5
32,10,5
33,10,5
34,10,5
35,10,5
36,10,3
37,10,3
38,10,4
39,10,5
40,10,5
41,10,5
42,10,5
43,10,5
44,10,5
45,10,5
46,10,5
47,10,5
48,10,5
49,10,5
50,10,5
51,10,5
52,10,5
53,10,5
54,10,5
55,10,5
56,10,5
57,10,5
58,10,5
59,10,5
60,10,5
1,11,3
2,11,3
3,11,4
4,11,4
5,11,4
6,11,4
7,11,5
8,11,3
9,11,5
10,11,5
11,11,5
12,11,5
13,11,4
14,11,4
15,11,2
16,11,2
17,11,2
18,11,2
19,11,2
20,11,1
21,11,1
22,11,1
23,11,1
24,11,2
25,11,3
26,11,1
27,11,3
28,11,5
29,11,3
30,11,1
31,11,5
32,11,4
33,11,5
34,11,4
35,11,3
36,11,3
37,11,2
38,11,2
39,11,1
40,11,1
41,11,1
42,11,5
43,11,4
44,11,5
45,11,4
46,11,3
47,11,2
48,11,3
49,11,2
50,11,1
51,11,5
52,11,4
53,11,3
54,11,4
55,11,5
56,11,3
57,11,2
58,11,2
59,11,1
60,11,1
1,12,3
2,12,5
3,12,5
4,12,5
5,12,5
6,12,5
7,12,5
8,12,3
9,12,5
10,12,5
11,12,5
12,12,5
13,12,5
14,12,5
15,12,5
16,12,5
17,12,5
18,12,5
19,12,5
20,12,5
21,12,3
22,12,5
23,12,5
24,12,3
25,12,5
26,12,5
27,12,5
28,12,5
29,12,5
30,12,3
31,12,5
32,12,5
33,12,5
34,12,1
35,12,3
36,12,3
37,12,1
38,12,5
39,12,1
40,12,3
41,12,3
42,12,5
43,12,5
44,12,5
45,12,5
46,12,5
47,12,5
48,12,5
49,12,5
50,12,5
51,12,5
52,12,5
53,12,5
54,12,5
55,12,5
56,12,5
57,12,5
58,12,5
59,12,1
60,12,1
1,13,5
2,13,1
3,13,3
4,13,2
5,13,5
6,13,4
7,13,2
8,13,1
9,13,3
10,13,4
11,13,4
12,13,5
13,13,3
14,13,2
15,13,5
16,13,4
17,13,1
18,13,2
19,13,3
20,13,1
21,13,4
22,13,3
23,13,1
24,13,1
25,13,2
26,13,2
27,13,5
28,13,5
29,13,4
30,13,3
31,13,5
32,13,4
33,13,3
34,13,5
35,13,3
36,13,1
37,13,1
38,13,4
39,13,2
40,13,2
41,13,2
42,13,2
43,13,5
44,13,1
45,13,3
46,13,5
